Index,Season,Game,Date,Time,RefTeam,RefATT Tier,OppTeam,OppDEF Tier,GoalsScored,GoalsConc,Home/Away,Result,Shots,OnTarget,Corners,Yellows,Reds,ATTRef,MIDRef,DEFRef,OVRRef,ATTOpp,MIDOpp,DEFOpp,OVROpp,Code,RefGS,OppGD,RefS,RefST,RefC,RefBP,OppBP,ATTDEF,MIDMID,DEFATT,OVROVR,Derby,RefGSF,OppGDF,RefSF,RefSTF,OppSTDF,RefCF,RefBPF,OppBPF,Home
20172018_176,20172018,18,23/12/2017,,Inter,A,Sassuolo,B,0,1,Away,Loss,16,4,10,2,0,81,81,78,80,76,74,75,76,InterSassuolo,0,0,23.136,5.784,14.46,20,10,6,7,2,4,0,2.406,2.3975,22.78616667,7.301166667,9.1145,10.80883333,20,25,0
20172018_172,20172018,18,23/12/2017,,Juventus,A,Roma,A,1,0,Home,Win,22,7,3,2,0,90,84,85,85,80,83,80,81,JuventusRoma,1.95,1,42.9,13.65,5.85,20,30,10,1,5,4,1,2.083166667,1.365833333,20.85616667,8.077666667,4.1535,6.244833333,20,20.83333333,1
20172018_173,20172018,17,23/12/2017,,Lazio,B,Crotone,D,4,0,Home,Win,19,6,10,1,0,79,79,79,79,69,69,70,70,LazioCrotone,4,5.34,19,6,10,10,20,9,10,10,9,0,2.696666667,2.686666667,19.31933333,6.988,9.957833333,10.541,22.5,20,1
20172018_174,20172018,18,23/12/2017,,Milan,A,Atalanta,B,0,2,Home,Loss,23,5,7,2,0,79,79,81,80,77,74,76,75,MilanAtalanta,0,0,33.258,7.23,10.122,20,0,3,5,4,5,0,1.534666667,1.921666667,23.7515,8.955166667,5.589166667,9.369166667,26.66666667,19.16666667,1
20172018_175,20172018,18,23/12/2017,,Napoli,A,Sampdoria,D,3,2,Home,Win,14,9,2,4,1,83,82,80,81,75,75,72,75,NapoliSampdoria,3,3,14,9,2,65,50,11,7,5,6,0,1.570166667,2.281333333,22.84766667,8.9025,6.988,9.943,20,15,1
20172018_172,20172018,17,23/12/2017,,Roma,A,Juventus,A,0,1,Away,Loss,13,3,5,3,0,80,83,80,81,90,84,85,85,RomaJuventus,0,0,25.35,5.85,9.75,30,20,-5,-1,-10,-4,1,2.477833333,1.184666667,27.42,10.551,3.48,9.970833333,20.83333333,20,0
20172018_175,20172018,17,23/12/2017,,Sampdoria,C,Napoli,A,2,3,Away,Loss,6,2,2,5,0,75,75,72,75,83,82,80,81,SampdoriaNapoli,3.9,3.342,11.7,3.9,3.9,50,65,-5,-7,-11,-6,0,2.027666667,0.555833333,20.03683333,6.948,3.114666667,7.714,15,20,0
20172018_176,20172018,18,23/12/2017,,Sassuolo,C,Inter,B,1,0,Home,Win,9,4,1,1,0,76,74,75,76,81,81,78,80,SassuoloInter,1.446,1.671,13.014,5.784,1.446,10,20,-2,-7,-6,-4,0,0.833333333,1.3365,15.488,4.324166667,5.843833333,9.174666667,25,20,1
20172018_177,20172018,18,23/12/2017,,Spal,D,Torino,B,2,2,Home,Draw,15,4,9,4,0,74,71,71,72,78,77,75,76,SpalTorino,2.892,4.19,21.69,5.784,13.014,40,20,-1,-6,-7,-4,0,1.731833333,1.390166667,14.15283333,5.404833333,6.5065,4.618666667,33.33333333,20,1
20172018_177,20172018,18,23/12/2017,,Torino,B,Spal,D,2,2,Away,Draw,15,5,3,2,0,78,77,75,76,74,71,71,72,TorinoSpal,2,2.67,15,5,3,20,40,7,6,1,4,0,1.979166667,2.5495,18.65216667,5.922833333,9.3055,6.163833333,20,33.33333333,0
20172018_178,20172018,17,23/12/2017,,Udinese,C,Verona,C,4,0,Home,Win,27,10,7,0,0,74,75,75,75,73,71,73,72,UdineseVerona,4.732,6.684,31.941,11.83,8.281,0,30,1,4,2,3,0,2.038333333,2.272,13.19833333,4.985666667,9.628666667,5.569666667,22.5,30.83333333,1
20172018_178,20172018,18,23/12/2017,,Verona,D,Udinese,C,0,4,Away,Loss,3,0,1,3,0,73,71,73,72,74,75,75,75,VeronaUdinese,0,0,3.549,0,1.183,30,0,-2,-4,-1,-3,0,2.351333333,0.834333333,14.595,5.99,6.003166667,5.656666667,30.83333333,22.5,0
20172018_179,20172018,19,29/12/2017,,Crotone,D,Napoli,A,0,1,Home,Loss,5,2,2,1,0,69,69,70,70,83,82,80,81,CrotoneNapoli,0,0,9.75,3.9,3.9,10,20,-11,-13,-13,-11,0,0.438166667,1.112833333,12.72883333,4.020166667,3.393166667,5.97,18.33333333,25.83333333,1
20172018_179,20172018,19,29/12/2017,,Napoli,A,Crotone,D,1,0,Away,Win,23,7,15,2,0,83,82,80,81,69,69,70,70,NapoliCrotone,1,1,23,7,15,20,10,13,13,11,11,0,2.070166667,3.131666667,21.43483333,9.416666667,10.18033333,8.1075,25.83333333,18.33333333,0
20172018_180,20172018,19,30/12/2017,,Atalanta,B,Cagliari,D,1,2,Home,Loss,25,6,5,0,0,77,74,76,75,74,74,71,73,AtalantaCagliari,1,1.335,25,6,5,0,75,6,0,2,2,0,2.427,1.668666667,17.9985,7.958833333,7.790666667,7.579833333,15,24.16666667,1
20172018_181,20172018,19,30/12/2017,,Benevento,D,Chievo,C,1,0,Home,Win,18,9,7,1,0,72,71,71,71,74,77,75,75,BeneventoChievo,1.183,2.095,21.294,10.647,8.281,10,20,-3,-6,-3,-4,0,1.057666667,2.421666667,19.08,6.122,9.565833333,7.032166667,34.16666667,17.5,1
20172018_182,20172018,19,30/12/2017,,Bologna,B,Udinese,C,1,2,Home,Loss,12,3,8,2,0,77,74,74,75,74,75,75,75,BolognaUdinese,1.183,1.335,14.196,3.549,9.464,20,30,2,-1,0,0,0,2.174666667,0.611833333,12.3655,4.446666667,5.558166667,6.691166667,31.66666667,22.5,1
20172018_180,20172018,19,30/12/2017,,Cagliari,C,Atalanta,B,2,1,Away,Win,4,3,3,5,1,74,74,71,73,77,74,76,75,CagliariAtalanta,2.892,3.342,5.784,4.338,4.338,75,0,-2,0,-6,-2,0,0.968666667,1.5725,12.79466667,3.388,5.375,6.079166667,24.16666667,15,0
20172018_181,20172018,19,30/12/2017,,Chievo,C,Benevento,D,0,1,Away,Loss,9,3,1,2,0,74,77,75,75,72,71,71,71,ChievoBenevento,0,0,9,3,1,20,10,3,6,3,4,0,0.968666667,2.717333333,16.1445,4.997,7.497833333,3.428166667,17.5,34.16666667,0
20172018_183,20172018,19,30/12/2017,,Fiorentina,B,Milan,A,1,1,Home,Draw,18,6,2,1,0,79,76,76,77,79,79,81,80,FiorentinaMilan,1.95,1.335,35.1,11.7,3.9,10,10,-2,-3,-3,-3,0,1.381333333,2.746666667,24.69733333,8.532666667,7.605833333,8.9995,21.66666667,25,1
20172018_187,20172018,19,30/12/2017,,Genoa,D,Torino,B,0,0,Away,Draw,3,1,3,3,0,73,76,75,75,78,77,75,76,GenoaTorino,0,0,4.338,1.446,4.338,30,10,-2,-1,-3,-1,0,1.0965,1.921833333,13.68616667,5.184166667,7.069833333,5.234166667,25,15,0
20172018_184,20172018,19,30/12/2017,,Inter,A,Lazio,A,0,0,Home,Draw,10,3,10,2,0,81,81,78,80,79,79,79,79,InterLazio,0,0,19.5,5.85,19.5,20,10,2,2,-1,1,0,2.165,2.169333333,21.82216667,7.060166667,7.1505,11.29083333,18.33333333,22.5,1
20172018_188,20172018,19,30/12/2017,,Juventus,A,Verona,C,3,1,Away,Win,18,8,6,0,0,90,84,85,85,73,71,73,72,JuventusVerona,3.549,3,21.294,9.464,7.098,0,20,17,13,12,13,0,2.074833333,2.829,23.50616667,9.019333333,9.907166667,5.8865,18.33333333,29.16666667,0
20172018_184,20172018,18,30/12/2017,,Lazio,B,Inter,B,0,0,Away,Draw,12,4,8,1,0,79,79,79,79,81,81,78,80,LazioInter,0,0,17.352,5.784,11.568,10,20,1,-2,-2,-1,0,2.53,1.3925,20.486,6.488,6.290333333,11.20766667,22.5,18.33333333,0
20172018_183,20172018,19,30/12/2017,,Milan,A,Fiorentina,B,1,1,Away,Draw,8,4,5,1,0,79,79,81,80,79,76,76,77,MilanFiorentina,1.446,1,11.568,5.784,7.23,10,10,3,3,2,3,0,1.052666667,0.571666667,25.9205,7.750166667,4.177833333,8.646166667,25,21.66666667,0
20172018_185,20172018,18,30/12/2017,,Roma,A,Sassuolo,B,1,1,Home,Draw,21,4,7,1,0,80,83,80,81,76,74,75,76,RomaSassuolo,1.446,1,30.366,5.784,10.122,10,20,5,9,4,5,0,1.513833333,2.064166667,26.584,9.116,8.1145,9.426833333,24.16666667,23.33333333,1
20172018_186,20172018,18,30/12/2017,,Sampdoria,C,Spal,D,2,0,Home,Win,20,8,11,3,0,75,75,72,75,74,71,71,72,SampdoriaSpal,2,3.342,20,8,11,30,40,4,4,-2,3,0,2.283333333,2.772,19.818,6.612166667,9.7505,7.969666667,20,36.66666667,1
