Index,Season,Game,Date,Time,RefTeam,RefATT Tier,OppTeam,OppDEF Tier,GoalsScored,GoalsConc,Home/Away,Result,Shots,OnTarget,Corners,Yellows,Reds,ATTRef,MIDRef,DEFRef,OVRRef,ATTOpp,MIDOpp,DEFOpp,OVROpp,Code,RefGS,OppGD,RefS,RefST,RefC,RefBP,OppBP,ATTDEF,MIDMID,DEFATT,OVROVR,Derby,RefGSF,OppGDF,RefSF,RefSTF,OppSTDF,RefCF,RefBPF,OppBPF,Home
20172018_129,20172018,14,25/11/2017,,Bologna,B,Sampdoria,D,3,0,Home,Win,11,6,5,2,1,77,74,74,75,75,75,72,75,BolognaSampdoria,3,4.005,11,6,5,45,20,5,-1,-1,0,0,1.583166667,1.334333333,14.17033333,3.7775,7.515166667,7.553333333,29.16666667,23.33333333,1
20172018_130,20172018,14,25/11/2017,,Cagliari,C,Inter,B,1,3,Home,Loss,15,4,7,2,0,74,74,71,73,81,81,78,80,CagliariInter,1.446,1.671,21.69,5.784,10.122,20,20,-4,-7,-10,-7,0,1.560166667,1.462,16.82333333,7.124666667,3.645333333,7.453333333,26.66666667,23.33333333,1
20172018_131,20172018,14,25/11/2017,,Chievo,C,Spal,D,2,1,Home,Win,12,3,2,0,0,74,77,75,75,74,71,71,72,ChievoSpal,2,3.342,12,3,2,0,10,3,6,1,3,0,1.324166667,1.835166667,15.46533333,5.323333333,4.480333333,5.129833333,19.16666667,29.16666667,1
20172018_130,20172018,14,25/11/2017,,Inter,A,Cagliari,D,3,1,Away,Win,10,4,5,2,0,81,81,78,80,74,74,71,73,InterCagliari,3,3,10,4,5,20,20,10,7,4,7,0,2.592333333,2.858333333,22.54983333,6.891,8.981666667,7.8075,23.33333333,26.66666667,0
20172018_129,20172018,13,25/11/2017,,Sampdoria,C,Bologna,C,0,3,Away,Loss,20,7,12,2,0,75,75,72,75,77,74,74,75,SampdoriaBologna,0,0,23.66,8.281,14.196,20,45,1,1,-5,0,0,4.196333333,2.929166667,14.59433333,6.993333333,6.151666667,5.541333333,23.33333333,29.16666667,0
20172018_132,20172018,14,25/11/2017,,Sassuolo,C,Verona,C,0,2,Home,Loss,20,3,10,0,0,76,74,75,76,73,71,73,72,SassuoloVerona,0,0,23.66,3.549,11.83,0,55,3,3,2,4,0,0.825,3.060833333,14.76783333,3.196833333,8.420333333,7.599333333,24.16666667,32.5,1
20172018_131,20172018,14,25/11/2017,,Spal,D,Chievo,C,1,2,Away,Loss,14,5,8,1,0,74,71,71,72,74,77,75,75,SpalChievo,1.183,2.095,16.562,5.915,9.464,10,0,-1,-6,-3,-3,0,1.201333333,2.7015,12.18133333,3.081833333,6.7235,5.7985,29.16666667,19.16666667,0
20172018_132,20172018,14,25/11/2017,,Verona,D,Sassuolo,B,2,0,Away,Win,9,6,6,3,1,73,71,73,72,76,74,75,76,VeronaSassuolo,2.892,4.19,13.014,8.676,8.676,55,0,-2,-3,-3,-4,0,1.363,1.461,14.24833333,3.856666667,7.074,5.307333333,32.5,24.16666667,0
20172018_134,20172018,14,26/11/2017,,Crotone,D,Juventus,A,0,3,Away,Loss,4,1,0,2,0,69,69,70,70,90,84,85,85,CrotoneJuventus,0,0,7.8,1.95,0,20,20,-16,-15,-20,-15,0,1.5555,2.535833333,11.26883333,5.080166667,5.333166667,3.151166667,20,24.16666667,0
20172018_135,20172018,14,26/11/2017,,Fiorentina,B,Lazio,A,1,1,Away,Draw,16,8,5,2,0,79,76,76,77,79,79,79,79,FiorentinaLazio,1.95,1.335,31.2,15.6,9.75,20,20,0,-3,-3,-2,0,2.600666667,1.350166667,21.17816667,7.32,7.992666667,6.943666667,16.66666667,18.33333333,0
20172018_133,20172018,14,26/11/2017,,Genoa,D,Roma,A,1,1,Home,Draw,9,4,1,1,0,73,76,75,75,80,83,80,81,GenoaRoma,1.95,2.095,17.55,7.8,1.95,10,55,-7,-7,-5,-6,0,1.316666667,0.834166667,15.34166667,5.616666667,3.923333333,4.466666667,21.66666667,11.66666667,1
20172018_134,20172018,14,26/11/2017,,Juventus,A,Crotone,D,3,0,Home,Win,25,10,7,2,0,90,84,85,85,69,69,70,70,JuventusCrotone,3,3,25,10,7,20,20,20,15,16,15,0,3.491333333,3.020833333,21.6715,7.235833333,8.285833333,7.266333333,24.16666667,20,1
20172018_135,20172018,13,26/11/2017,,Lazio,B,Fiorentina,B,1,1,Home,Draw,13,7,6,2,0,79,79,79,79,79,76,76,77,LazioFiorentina,1.446,1.335,18.798,10.122,8.676,20,20,3,3,0,2,0,4.148666667,1.992666667,18.879,7.9995,4.667833333,6.585333333,18.33333333,16.66666667,1
20172018_136,20172018,14,26/11/2017,,Milan,A,Torino,B,0,0,Home,Draw,17,6,5,0,0,79,79,81,80,78,77,75,76,MilanTorino,0,0,24.582,8.676,7.23,0,20,4,2,3,4,0,2.077666667,2.256166667,23.13583333,8.299833333,6.221166667,7.23,22.5,27.5,1
20172018_137,20172018,14,26/11/2017,,Napoli,A,Udinese,C,1,0,Away,Win,9,4,7,1,0,83,82,80,81,74,75,75,75,NapoliUdinese,1.183,1,10.647,4.732,8.281,10,50,8,7,6,6,0,2.2895,1.946,27.05033333,10.26083333,5.119833333,7.2335,18.33333333,29.16666667,0
20172018_133,20172018,13,26/11/2017,,Roma,A,Genoa,C,1,1,Away,Draw,14,4,4,3,1,80,83,80,81,73,76,75,75,RomaGenoa,1.183,1,16.562,4.732,4.732,55,10,5,7,7,6,0,2.218833333,1.963166667,23.65783333,7.798166667,8.302,9.995833333,11.66666667,21.66666667,0
20172018_136,20172018,14,26/11/2017,,Torino,B,Milan,A,0,0,Away,Draw,8,2,4,2,0,78,77,75,76,79,79,81,80,TorinoMilan,0,0,15.6,3.9,7.8,20,0,-3,-2,-4,-4,0,1.104833333,1.445166667,14.92983333,4.208833333,5.145666667,5.654833333,27.5,22.5,0
20172018_137,20172018,13,26/11/2017,,Udinese,C,Napoli,A,0,1,Home,Loss,10,2,3,5,0,74,75,75,75,83,82,80,81,UdineseNapoli,0,0,19.5,3.9,5.85,50,10,-6,-7,-8,-6,0,2.280666667,1.1435,13.95133333,5.228,3.120333333,4.717,29.16666667,18.33333333,1
20172018_138,20172018,14,27/11/2017,,Atalanta,B,Benevento,D,1,0,Home,Win,14,4,9,1,0,77,74,76,75,72,71,71,71,AtalantaBenevento,1,1.335,14,4,9,10,20,6,3,4,4,0,1.319166667,3.5765,16.78633333,4.743166667,8.725833333,6.319666667,20.83333333,31.66666667,1
20172018_138,20172018,14,27/11/2017,,Benevento,D,Atalanta,B,0,1,Away,Loss,6,2,3,2,0,72,71,71,71,77,74,76,75,BeneventoAtalanta,0,0,8.676,2.892,4.338,20,10,-4,-3,-6,-4,0,1.057666667,2.075,15.52933333,4.659166667,6.174333333,4.393833333,31.66666667,20.83333333,0
20172018_139,20172018,15,01/12/2017,,Juventus,A,Napoli,A,1,0,Away,Win,7,4,3,1,0,90,84,85,85,83,82,80,81,JuventusNapoli,1.95,1,13.65,7.8,5.85,10,20,10,2,2,4,0,3.666333333,1.1435,19.98816667,6.9525,3.344,7.133,24.16666667,16.66666667,0
20172018_139,20172018,15,01/12/2017,,Napoli,A,Juventus,A,0,1,Home,Loss,21,6,10,2,0,83,82,80,81,90,84,85,85,NapoliJuventus,0,0,40.95,11.7,19.5,20,10,-2,-2,-10,-4,0,2.161666667,2.090833333,23.62483333,9.0995,4.569833333,7.963666667,16.66666667,24.16666667,1
20172018_140,20172018,14,01/12/2017,,Roma,A,Spal,D,3,1,Home,Win,37,15,10,1,0,80,83,80,81,74,71,71,72,RomaSpal,3,3,37,15,10,10,45,9,12,6,9,0,2.416,1.947166667,23.16816667,7.936833333,4.870833333,9.1595,17.5,27.5,1
20172018_140,20172018,15,01/12/2017,,Spal,D,Roma,A,1,3,Away,Loss,3,2,0,2,1,74,71,71,72,80,83,80,81,SpalRoma,1.95,2.095,5.85,3.9,0,45,10,-6,-12,-9,-9,0,1.201333333,1.016666667,13.5615,3.673333333,4.32,6.39,27.5,17.5,0
20172018_141,20172018,15,02/12/2017,,Atalanta,B,Torino,B,1,1,Away,Draw,14,6,7,2,0,77,74,76,75,78,77,75,76,AtalantaTorino,1.446,1.335,20.244,8.676,10.122,20,20,2,-3,-2,-1,0,1.319166667,1.557833333,15.61966667,3.5765,6.173666667,6.819666667,17.5,30.83333333,0
20172018_141,20172018,15,02/12/2017,,Torino,B,Atalanta,B,1,1,Home,Draw,9,4,5,2,0,78,77,75,76,77,74,76,75,TorinoAtalanta,1.446,1.335,13.014,5.784,7.23,20,20,2,3,-2,1,0,0.7715,1.2395,14.02983333,3.358833333,4.923166667,5.6215,30.83333333,17.5,1
20172018_142,20172018,15,03/12/2017,,Benevento,D,Milan,A,2,2,Home,Draw,17,6,4,3,0,72,71,71,71,79,79,81,80,BeneventoMilan,3.9,4.19,33.15,11.7,7.8,30,75,-9,-8,-8,-9,0,1.057666667,0.945166667,15.398,4.944,4.590666667,4.525333333,25.83333333,19.16666667,1
20172018_143,20172018,15,03/12/2017,,Bologna,B,Cagliari,D,1,1,Home,Draw,13,3,5,6,0,77,74,74,75,74,74,71,73,BolognaCagliari,1,1.335,13,3,5,60,20,6,0,0,2,0,1.749833333,2.310833333,13.67033333,4.444166667,5.8075,8.053333333,33.33333333,26.66666667,1
20172018_143,20172018,15,03/12/2017,,Cagliari,C,Bologna,C,1,1,Away,Draw,8,2,3,2,0,74,74,71,73,77,74,74,75,CagliariBologna,1.183,1.671,9.464,2.366,3.549,20,60,0,0,-6,-2,0,1.406833333,2.58,18.07233333,6.7085,7.402833333,7.957333333,26.66666667,33.33333333,0
20172018_145,20172018,15,03/12/2017,,Chievo,C,Inter,B,0,5,Away,Loss,7,4,2,0,0,74,77,75,75,81,81,78,80,ChievoInter,0,0,10.122,5.784,2.892,0,10,-4,-4,-6,-5,0,1.6575,1.407166667,15.29633333,5.341333333,3.759333333,3.535166667,19.16666667,16.66666667,0
20172018_144,20172018,15,03/12/2017,,Fiorentina,B,Sassuolo,B,3,0,Home,Win,23,9,13,1,0,79,76,76,77,76,74,75,76,FiorentinaSassuolo,4.338,4.005,33.258,13.014,18.798,10,30,4,2,0,1,0,2.531333333,2.159333333,23.815,8.737,8.612,7.78,18.33333333,20.83333333,1
20172018_145,20172018,15,03/12/2017,,Inter,A,Chievo,C,5,0,Home,Win,37,13,18,1,0,81,81,78,80,74,77,75,75,InterChievo,5.915,5,43.771,15.379,21.294,10,0,6,4,4,5,0,2.117333333,3.050666667,19.3415,5.607666667,7.355333333,7.990833333,16.66666667,19.16666667,1
20172018_146,20172018,14,03/12/2017,,Lazio,B,Sampdoria,D,2,1,Away,Win,14,3,6,1,0,79,79,79,79,75,75,72,75,LazioSampdoria,2,2.67,14,3,6,10,0,7,4,4,4,0,2.943666667,1.779333333,16.71,6.5535,6.402666667,6.826333333,18.33333333,21.66666667,0
20172018_142,20172018,15,03/12/2017,,Milan,A,Benevento,D,2,2,Away,Draw,12,7,3,5,1,79,79,81,80,72,71,71,71,MilanBenevento,2,2,12,7,3,75,30,8,8,9,9,0,1.595666667,3.449833333,22.17183333,8.299833333,8.568333333,6.748,19.16666667,25.83333333,0
20172018_146,20172018,14,03/12/2017,,Sampdoria,C,Lazio,A,1,2,Home,Loss,16,3,5,0,0,75,75,72,75,79,79,79,79,SampdoriaLazio,1.95,1.671,31.2,5.85,9.75,0,10,-4,-4,-7,-4,0,3.473333333,1.294166667,15.88666667,6.6865,8.101666667,6.943333333,21.66666667,18.33333333,1
20172018_144,20172018,15,03/12/2017,,Sassuolo,C,Fiorentina,B,0,3,Away,Loss,8,1,8,3,0,76,74,75,76,79,76,76,77,SassuoloFiorentina,0,0,11.568,1.446,11.568,30,10,0,-2,-4,-1,0,0.825,1.936666667,15.16216667,2.999666667,5.668333333,8.388,20.83333333,18.33333333,0
20172018_147,20172018,15,04/12/2017,,Crotone,D,Udinese,C,0,3,Home,Loss,9,2,7,0,0,69,69,70,70,74,75,75,75,CrotoneUdinese,0,0,10.647,2.366,8.281,0,0,-6,-6,-4,-5,0,1.0735,2.112666667,10.39983333,4.682166667,5.2295,2.428166667,21.66666667,30.83333333,1
20172018_148,20172018,15,04/12/2017,,Genoa,D,Verona,C,1,0,Away,Win,9,1,3,4,0,73,76,75,75,73,71,73,72,GenoaVerona,1.183,2.095,10.647,1.183,3.549,40,20,0,5,2,3,0,1.141666667,3.060833333,15.26666667,5.083333333,8.906666667,3.625,23.33333333,35,0
20172018_147,20172018,14,04/12/2017,,Udinese,C,Crotone,D,3,0,Away,Win,15,6,7,0,0,74,75,75,75,69,69,70,70,UdineseCrotone,3,5.013,15,6,7,0,0,4,6,6,5,0,1.614,3.075833333,14.70133333,4.711333333,7.95,5.192,30.83333333,21.66666667,0
20172018_148,20172018,15,04/12/2017,,Verona,D,Genoa,C,0,1,Home,Loss,15,3,2,2,0,73,71,73,72,73,76,75,75,VeronaGenoa,0,0,17.745,3.549,2.366,20,40,-2,-5,0,-3,0,1.678333333,1.572833333,14.25066667,4.802666667,7.019166667,5.92,35,23.33333333,1
20172018_149,20172018,16,09/12/2017,,Cagliari,C,Sampdoria,D,2,2,Home,Draw,14,6,6,3,0,74,74,71,73,75,75,72,75,CagliariSampdoria,2,3.342,14,6,6,30,0,2,-1,-4,-2,0,1.604,2.224333333,15.74966667,5.477833333,6.371833333,6.923833333,23.33333333,20,1
20172018_150,20172018,16,09/12/2017,,Inter,A,Juventus,A,0,0,Away,Draw,6,1,4,5,0,81,81,78,80,90,84,85,85,InterJuventus,0,0,11.7,1.95,7.8,50,20,-4,-3,-12,-5,1,3.103166667,1.533833333,23.06166667,7.520833333,4.455833333,9.264833333,16.66666667,16.66666667,0
20172018_150,20172018,16,09/12/2017,,Juventus,A,Inter,B,0,0,Home,Draw,19,8,3,2,0,90,84,85,85,81,81,78,80,JuventusInter,0,0,27.474,11.568,4.338,20,50,12,3,4,5,1,2.808333333,1.407166667,19.7,7.266666667,4.373333333,6.925,16.66666667,16.66666667,1
20172018_149,20172018,15,09/12/2017,,Sampdoria,C,Cagliari,D,2,2,Away,Draw,16,9,4,0,0,75,75,72,75,74,74,71,73,SampdoriaCagliari,2,3.342,16,9,4,0,30,4,1,-2,2,0,2.965,1.865833333,20.08666667,6.828166667,5.8075,7.901666667,20,23.33333333,0
20172018_156,20172018,16,10/12/2017,,Benevento,D,Udinese,C,0,2,Away,Loss,20,5,9,2,0,72,71,71,71,74,75,75,75,BeneventoUdinese,0,0,23.66,5.915,10.647,20,10,-3,-4,-3,-4,0,1.707666667,1.667666667,18.754,6.653,4.592833333,5.102333333,27.5,29.16666667,0
20172018_152,20172018,16,10/12/2017,,Bologna,B,Milan,A,1,2,Away,Loss,10,2,7,0,0,77,74,74,75,79,79,81,80,BolognaMilan,1.95,1.335,19.5,3.9,13.65,0,0,-4,-5,-5,-5,0,1.9165,1.6435,14.391,4.944166667,5.987333333,8.163666667,32.5,27.5,0
20172018_151,20172018,16,10/12/2017,,Chievo,C,Roma,A,0,0,Home,Draw,9,1,1,1,0,74,77,75,75,80,83,80,81,ChievoRoma,0,0,17.55,1.95,1.95,10,20,-6,-6,-5,-6,0,1.066,1.365833333,12.64566667,4.728,5.018333333,3.031333333,15.83333333,17.5,1
20172018_154,20172018,16,10/12/2017,,Crotone,D,Sassuolo,B,1,2,Away,Loss,8,2,6,2,0,69,69,70,70,76,74,75,76,CrotoneSassuolo,1.446,2.095,11.568,2.892,8.676,20,30,-6,-5,-6,-6,0,1.0735,2.826833333,10.841,4.743166667,9.916166667,3.808333333,16.66666667,16.66666667,0
20172018_153,20172018,16,10/12/2017,,Fiorentina,B,Napoli,A,0,0,Away,Draw,6,3,2,3,0,79,76,76,77,83,82,80,81,FiorentinaNapoli,0,0,11.7,5.85,3.9,30,30,-1,-6,-7,-4,0,2.754333333,1.310166667,27.02466667,9.739333333,3.677333333,10.07966667,18.33333333,18.33333333,0
20172018_152,20172018,16,10/12/2017,,Milan,A,Bologna,C,2,1,Home,Win,21,7,12,0,0,79,79,81,80,77,74,74,75,MilanBologna,2.366,2,24.843,8.281,14.196,0,0,5,5,4,5,0,1.929,2.636,20.62283333,8.086333333,7.514833333,6.262166667,27.5,32.5,1
20172018_153,20172018,16,10/12/2017,,Napoli,A,Fiorentina,B,0,0,Home,Draw,10,4,4,3,0,83,82,80,81,79,76,76,77,NapoliFiorentina,0,0,14.46,5.784,5.784,30,30,7,6,1,4,0,2.161666667,1.936666667,27.55783333,10.3265,5.597666667,10.00866667,18.33333333,18.33333333,1
20172018_151,20172018,15,10/12/2017,,Roma,A,Chievo,C,0,0,Away,Draw,24,8,13,2,0,80,83,80,81,74,77,75,75,RomaChievo,0,0,28.392,9.464,15.379,20,10,5,6,6,6,0,2.675,3.185666667,25.47883333,9.231833333,8.4745,9.621166667,17.5,15.83333333,0
20172018_154,20172018,16,10/12/2017,,Sassuolo,C,Crotone,D,2,1,Home,Win,16,7,8,3,0,76,74,75,76,69,69,70,70,SassuoloCrotone,2,3.342,16,7,8,30,20,6,5,6,6,0,0.658333333,2.518833333,15.09016667,2.907333333,8.2285,9.816,16.66666667,16.66666667,1
20172018_155,20172018,16,10/12/2017,,Spal,D,Verona,C,2,2,Home,Draw,19,10,8,3,0,74,71,71,72,73,71,73,72,SpalVerona,2.366,4.19,22.477,11.83,9.464,30,20,1,0,-2,0,0,1.526333333,2.5745,11.4035,3.841333333,7.027833333,3.98,30,29.16666667,1
20172018_156,20172018,15,10/12/2017,,Udinese,C,Benevento,D,2,0,Home,Win,9,2,3,1,0,74,75,75,75,72,71,71,71,UdineseBenevento,2,3.342,9,2,3,10,20,3,4,3,4,0,1.873,3.115666667,15.27333333,5.229333333,8.1775,5.394666667,29.16666667,27.5,1
20172018_155,20172018,16,10/12/2017,,Verona,D,Spal,D,2,2,Away,Draw,16,8,6,2,0,73,71,73,72,74,71,71,72,VeronaSpal,2,4.19,16,8,6,20,30,2,0,-1,0,0,1.284,2.168666667,15.03933333,4.802666667,6.813833333,5.525666667,29.16666667,30,0
20172018_157,20172018,15,11/12/2017,,Lazio,B,Torino,B,1,3,Home,Loss,20,7,13,1,1,79,79,79,79,78,77,75,76,LazioTorino,1.446,1.335,28.92,10.122,18.798,35,10,4,2,1,3,0,2.627,1.613666667,15.79333333,5.4285,6.675333333,7.176333333,18.33333333,32.5,1
20172018_157,20172018,16,11/12/2017,,Torino,B,Lazio,A,3,1,Away,Win,18,6,2,1,0,78,77,75,76,79,79,79,79,TorinoLazio,5.85,4.005,35.1,11.7,3.9,10,35,-1,-2,-4,-3,0,1.0125,1.406,14.57383333,4.322833333,7.937166667,6.8265,32.5,18.33333333,0
20172018_158,20172018,16,12/12/2017,,Atalanta,B,Genoa,C,2,1,Away,Win,13,7,5,2,0,77,74,76,75,73,76,75,75,AtalantaGenoa,2.366,2.67,15.379,8.281,5.915,20,30,2,-2,3,0,0,1.363,1.572833333,15.05033333,4.628166667,6.9,6.535,15.83333333,26.66666667,0
20172018_158,20172018,16,12/12/2017,,Genoa,D,Atalanta,B,1,2,Home,Loss,15,4,7,3,0,73,76,75,75,77,74,76,75,GenoaAtalanta,1.446,2.095,21.69,5.784,10.122,30,20,-3,2,-2,0,0,1.338833333,1.462,13.14116667,4.6305,5.813166667,3.2415,26.66666667,15.83333333,1
20172018_160,20172018,17,16/12/2017,,Cagliari,C,Roma,A,0,1,Away,Loss,3,0,1,3,0,74,74,71,73,80,83,80,81,CagliariRoma,0,0,5.85,0,1.95,30,10,-6,-9,-9,-8,0,1.604,1.365833333,15.91633333,5.6445,4.5985,7.0905,20,20.83333333,0
20172018_159,20172018,17,16/12/2017,,Inter,A,Udinese,C,1,3,Home,Loss,26,8,15,1,0,81,81,78,80,74,75,75,75,InterUdinese,1.183,1,30.758,9.464,17.745,10,40,6,6,4,5,0,2.603166667,0.667666667,21.01166667,6.5125,5.505333333,9.2315,21.66666667,20.83333333,1
20172018_161,20172018,17,16/12/2017,,Napoli,A,Torino,B,3,1,Away,Win,12,4,5,1,0,83,82,80,81,78,77,75,76,NapoliTorino,4.338,3,17.352,5.784,7.23,10,10,8,5,2,5,0,1.570166667,1.168666667,26.22166667,10.1075,6.675333333,10.184,21.66666667,25,0
20172018_160,20172018,16,16/12/2017,,Roma,A,Cagliari,D,1,0,Home,Win,21,6,5,1,0,80,83,80,81,74,74,71,73,RomaCagliari,1,1,21,6,5,10,30,9,9,6,8,0,2.508333333,2.073666667,26.8775,10.1425,7.2665,10.51766667,20.83333333,20,1
20172018_161,20172018,17,16/12/2017,,Torino,B,Napoli,A,1,3,Home,Loss,8,2,4,1,0,78,77,75,76,83,82,80,81,TorinoNapoli,1.95,1.335,15.6,3.9,7.8,10,10,-2,-5,-8,-5,0,1.9875,0.611833333,19.21883333,6.272833333,2.948166667,6.0305,25,21.66666667,1
20172018_159,20172018,16,16/12/2017,,Udinese,C,Inter,B,3,1,Away,Win,8,5,3,4,0,74,75,75,75,81,81,78,80,UdineseInter,4.338,5.013,11.568,7.23,4.338,40,10,-4,-6,-6,-5,0,1.556333333,0.850166667,13.19833333,4.262666667,5.149666667,5.569666667,20.83333333,21.66666667,0
20172018_162,20172018,17,17/12/2017,,Atalanta,B,Lazio,A,3,3,Home,Draw,13,6,5,2,0,77,74,76,75,79,79,79,79,AtalantaLazio,5.85,4.005,25.35,11.7,9.75,20,20,-2,-5,-3,-4,0,1.165833333,2.0735,13.07866667,4.628166667,7.879666667,6.535,19.16666667,22.5,1
20172018_163,20172018,17,17/12/2017,,Benevento,D,Spal,D,1,2,Home,Loss,16,4,6,2,0,72,71,71,71,74,71,71,72,BeneventoSpal,1,2.095,16,4,6,20,30,1,0,-3,-1,0,1.541,2.200333333,21.19733333,7.138833333,8.607166667,6.5435,29.16666667,35,1
20172018_164,20172018,17,17/12/2017,,Bologna,B,Juventus,A,0,3,Home,Loss,3,1,3,3,0,77,74,74,75,90,84,85,85,BolognaJuventus,0,0,5.85,1.95,5.85,30,10,-8,-10,-16,-10,0,1.9165,1.184666667,15.366,4.619166667,3.924166667,7.188666667,29.16666667,18.33333333,1
20172018_165,20172018,17,17/12/2017,,Chievo,C,Crotone,D,0,1,Away,Loss,15,4,4,4,0,74,77,75,75,69,69,70,70,ChievoCrotone,0,0,15,4,4,40,40,4,8,6,5,0,0.741,2.909166667,12.64566667,4.078,9.511333333,3.031333333,14.16666667,18.33333333,0
20172018_165,20172018,17,17/12/2017,,Crotone,D,Chievo,C,1,0,Home,Win,15,6,6,4,0,69,69,70,70,74,77,75,75,CrotoneChievo,1.183,2.095,17.745,7.098,7.098,40,40,-6,-8,-4,-5,0,1.3145,2.519,11.794,4.575166667,9.141166667,4.929333333,18.33333333,14.16666667,1
20172018_166,20172018,17,17/12/2017,,Fiorentina,B,Genoa,C,0,0,Home,Draw,22,4,3,2,0,79,76,76,77,73,76,75,75,FiorentinaGenoa,0,0,26.026,4.732,3.549,20,20,4,0,3,2,0,2.031333333,1.517833333,25.35966667,9.027333333,7.4575,9.524666667,21.66666667,30,1
20172018_166,20172018,17,17/12/2017,,Genoa,D,Fiorentina,B,0,0,Away,Draw,5,3,4,2,0,73,76,75,75,79,76,76,77,GenoaFiorentina,0,0,7.23,4.338,5.784,20,20,-3,0,-4,-2,0,0.929833333,1.936666667,14.48116667,4.2945,6.264333333,4.6035,30,21.66666667,0
20172018_164,20172018,17,17/12/2017,,Juventus,A,Bologna,C,3,0,Away,Win,11,6,7,1,0,90,84,85,85,77,74,74,75,JuventusBologna,3.549,3,13.013,7.098,8.281,10,30,16,10,8,10,0,2.141666667,2.524333333,21.61233333,8.194666667,8.014,6.814666667,18.33333333,29.16666667,0
20172018_162,20172018,16,17/12/2017,,Lazio,B,Atalanta,B,3,3,Away,Draw,13,4,7,2,0,79,79,79,79,77,74,76,75,LazioAtalanta,4.338,4.005,18.798,5.784,10.122,20,20,3,5,2,4,0,2.368,1.811166667,18.94666667,6.6155,5.813166667,9.642666667,22.5,19.16666667,0
20172018_168,20172018,17,17/12/2017,,Milan,A,Verona,C,0,3,Away,Loss,30,8,13,2,1,79,79,81,80,73,71,73,72,MilanVerona,0,0,35.49,9.464,15.379,45,30,6,8,8,8,0,1.534666667,2.605333333,21.4115,8.677833333,8.962,8.431,22.5,32.5,0
20172018_167,20172018,16,17/12/2017,,Sampdoria,C,Sassuolo,B,0,1,Home,Loss,13,2,7,1,0,75,75,72,75,76,74,75,76,SampdoriaSassuolo,0,0,18.798,2.892,10.122,10,60,0,1,-4,-1,0,2.816333333,2.8975,19.86133333,7.846166667,10.0575,7.604333333,16.66666667,18.33333333,1
20172018_167,20172018,17,17/12/2017,,Sassuolo,C,Sampdoria,D,1,0,Away,Win,15,7,5,6,0,76,74,75,76,75,75,72,75,SassuoloSampdoria,1,1.671,15,7,5,60,10,4,-1,0,1,0,0.991666667,2.281333333,15.588,3.4825,6.7095,9.966333333,18.33333333,16.66666667,0
20172018_163,20172018,17,17/12/2017,,Spal,D,Benevento,D,2,1,Away,Win,14,5,3,3,0,74,71,71,72,72,71,71,71,SpalBenevento,2,4.19,14,5,3,30,20,3,0,-1,1,0,1.595666667,3.115666667,13.19966667,5.163,7.342,4.907333333,35,29.16666667,0
20172018_168,20172018,17,17/12/2017,,Verona,D,Milan,A,3,0,Home,Win,6,4,4,3,0,73,71,73,72,79,79,81,80,VeronaMilan,5.85,6.285,11.7,7.8,7.8,30,45,-8,-8,-6,-8,0,1.617333333,1.5875,15.055,5.172,5.596833333,5.320666667,32.5,22.5,1
20172018_170,20172018,18,22/12/2017,,Bologna,B,Chievo,C,3,2,Away,Win,9,5,5,2,1,77,74,74,75,74,77,75,75,BolognaChievo,3.549,4.005,10.647,5.915,5.915,45,20,2,-3,0,0,0,1.9165,1.754166667,13.091,4.294166667,9.286666667,6.538666667,27.5,15.83333333,0
20172018_169,20172018,18,22/12/2017,,Cagliari,C,Fiorentina,B,0,1,Home,Loss,8,1,7,2,1,74,74,71,73,79,76,76,77,CagliariFiorentina,0,0,11.568,1.446,10.122,45,20,-2,-2,-8,-4,0,1.363,1.238333333,15.20433333,4.9215,5.566,5.9695,20,20,1
20172018_170,20172018,18,22/12/2017,,Chievo,C,Bologna,C,2,3,Home,Loss,21,8,7,2,0,74,77,75,75,77,74,74,75,ChievoBologna,2.366,3.342,24.843,9.464,8.281,20,45,0,3,-2,0,0,0.574333333,2.857666667,12.979,3.744666667,8.514,2.698,15.83333333,27.5,1
20172018_169,20172018,18,22/12/2017,,Fiorentina,B,Cagliari,D,1,0,Away,Win,26,7,10,2,0,79,76,76,77,74,74,71,73,FiorentinaCagliari,1,1.335,26,7,10,20,45,8,2,2,4,0,1.864666667,1.795333333,26.864,9.316,6.9315,9.282833333,20,20,0
20172018_174,20172018,18,23/12/2017,,Atalanta,B,Milan,A,2,0,Away,Win,11,7,4,0,0,77,74,76,75,79,79,81,80,AtalantaMilan,3.9,2.67,21.45,13.65,7.8,0,20,-4,-5,-3,-5,0,1.943666667,2.301666667,15.9235,6.183833333,6.326833333,6.779833333,19.16666667,26.66666667,0
20172018_171,20172018,18,23/12/2017,,Benevento,D,Genoa,C,0,1,Away,Loss,12,3,4,5,0,72,71,71,71,73,76,75,75,BeneventoGenoa,0,0,14.196,3.549,4.732,50,20,-3,-5,-2,-4,0,1.382666667,1.168666667,17.689,5.8555,7.3,6.8935,30.83333333,28.33333333,0
20172018_173,20172018,18,23/12/2017,,Crotone,D,Lazio,A,0,4,Away,Loss,8,2,3,2,0,69,69,70,70,79,79,79,79,CrotoneLazio,0,0,15.6,3.9,5.85,20,10,-10,-10,-9,-9,0,1.029666667,2.5185,12.1005,4.553166667,8.547166667,5.389333333,20,22.5,0
